Surah,Ayah,Rule,FoundInOriginal,FoundInClean
2,71,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,72,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,75,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,79,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,79,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,79,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,79,"مد العوض","","لًا"
2,81,"إدغام النون الساكنة والتنوين - بغنة","","ً و"
2,85,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,89,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,89,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,90,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,90,"المد العارض للسكون","","مُّهِينٌ"
2,94,"إدغام النون الساكنة والتنوين - بغنة","","ً م"
2,98,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,99,"إقلاب النون الساكنة والتنوين","","ٍ ب"
2,100,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,101,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,101,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,101,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,102,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,103,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,103,"المد العارض للسكون","","خَيْرٌ ۖ"
2,103,"مد اللين","","خَيْرٌ ۖ"
2,104,"المد العارض للسكون","","أَلِيمٌ"
2,109,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,109,"المد العارض للسكون","","قَدِيرٌ"
2,110,"المد العارض للسكون","","بَصِيرٌ"
2,112,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,114,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,114,"المد العارض للسكون","","عَظِيمٌ"
2,115,"المد العارض للسكون","","عَلِيمٌ"
2,116,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,116,"مد العوض","","دًا"
2,119,"مد العوض","","رًا"
2,123,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,123,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,124,"مد العوض","","مًا"
2,125,"إدغام النون الساكنة والتنوين - بدون غنة","","ً ل"
2,128,"إدغام النون الساكنة والتنوين - بدون غنة","","ً ل"
2,128,"إدغام النون الساكنة والتنوين - بغنة","","ً م"
2,134,"إخفاء النون الساكنة والتنوين","","ٌ ق"
2,135,"مد العوض","","فًا"
2,141,"إخفاء النون الساكنة والتنوين","","ٌ ق"
2,143,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ر"
2,143,"إدغام النون الساكنة والتنوين - بغنة","","ً و"
2,143,"المد العارض للسكون","","رَّحِيمٌ"
2,143,"مد العوض","","دًا"
2,144,"إخفاء النون الساكنة والتنوين","","ً ت"
2,148,"المد العارض للسكون","","قَدِيرٌ"
2,154,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,156,"إخفاء النون الساكنة والتنوين","","ٌ ق"
2,157,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,163,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,167,"إخفاء النون الساكنة والتنوين","","ً ف"
2,168,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,171,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,171,"إدغام النون الساكنة والتنوين - بغنة","","ً و"
2,173,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ر"
2,176,"إقلاب النون الساكنة والتنوين","","ٍ ب"
2,178,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,178,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,178,"المد العارض للسكون","","أَلِيمٌ"
2,179,"إدغام النون الساكنة والتنوين - بغنة","","ٌ ي"
2,181,"المد العارض للسكون","","عَلِيمٌ"
2,182,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ر"
2,182,"المد العارض للسكون","","رَّحِيمٌ"
2,184,"إخفاء النون الساكنة والتنوين","","ٌ ط"
2,184,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,184,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,184,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,185,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,187,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,187,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,192,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ر"
2,192,"المد العارض للسكون","","رَّحِيمٌ"
2,193,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,194,"المد العارض للسكون","","قِصَاصٌ ۚ"
2,196,"إخفاء النون الساكنة والتنوين","","ٌ ك"
2,196,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,197,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,199,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ر"
2,199,"المد العارض للسكون","","رَّحِيمٌ"
2,200,"مد العوض","","رًا"
2,201,"إدغام النون الساكنة والتنوين - بغنة","","ً و"
2,201,"إدغام النون الساكنة والتنوين - بغنة","","ً و"
2,202,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,208,"إدغام النون الساكنة والتنوين - بغنة","","ً و"
2,208,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,208,"المد العارض للسكون","","مُّبِينٌ"
2,211,"إقلاب النون الساكنة والتنوين","","ٍ ب"
2,213,"إخفاء النون الساكنة والتنوين","","ً ف"
2,213,"إدغام النون الساكنة والتنوين - بغنة","","ً و"
2,214,"المد العارض للسكون","","قَرِيبٌ"
2,215,"المد العارض للسكون","","عَلِيمٌ"
2,216,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,216,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,216,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,217,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,217,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,217,"المد العارض للسكون","","كَبِيرٌ ۖ"
2,218,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ر"
2,218,"المد العارض للسكون","","رَّحِيمٌ"
2,219,"إخفاء النون الساكنة والتنوين","","ٌ ك"
2,219,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,220,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,220,"المد العارض للسكون","","حَكِيمٌ"
2,220,"المد العارض للسكون","","خَيْرٌ ۖ"
2,220,"مد اللين","","خَيْرٌ ۖ"
2,221,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,221,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,221,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,221,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,223,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,224,"إدغام النون الساكنة والتنوين - بدون غنة","","ً ل"
2,224,"المد العارض للسكون","","عَلِيمٌ"
2,225,"المد العارض للسكون","","حَلِيمٌ"
2,226,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ر"
2,226,"المد العارض للسكون","","رَّحِيمٌ"
2,227,"المد العارض للسكون","","عَلِيمٌ"
2,228,"مد العوض","","حًا"
2,231,"المد العارض للسكون","","عَلِيمٌ"
2,231,"مد العوض","","وًا"
2,233,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,233,"المد العارض للسكون","","بَصِيرٌ"
2,234,"المد العارض للسكون","","خَبِيرٌ"
2,234,"مد العوض","","رًا"
2,235,"المد العارض للسكون","","حَلِيمٌ"
2,235,"مد العوض","","فًا"
2,237,"إخفاء النون الساكنة والتنوين","","ً ف"
2,239,"مد العوض","","نًا"
2,240,"إدغام النون الساكنة والتنوين - بدون غنة","","ً ل"
2,240,"المد العارض للسكون","","حَكِيمٌ"
2,244,"المد العارض للسكون","","عَلِيمٌ"
2,247,"إخفاء النون الساكنة والتنوين","","ً ف"
2,247,"إدغام النون الساكنة والتنوين - بغنة","","ً م"
2,247,"المد العارض للسكون","","عَلِيمٌ"
2,247,"مد العوض","","كًا"
2,248,"إدغام النون الساكنة والتنوين - بدون غنة","","ً ل"
2,248,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,248,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,249,"إخفاء النون الساكنة والتنوين","","ً ك"
2,254,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,254,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,254,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,255,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,255,"المد العارض للسكون","","نَوْمٌ ۚ"
2,255,"مد اللين","","نَوْمٌ ۚ"
2,259,"إدغام النون الساكنة والتنوين - بدون غنة","","ً ل"
2,259,"المد العارض للسكون","","قَدِيرٌ"
2,259,"مد العوض","","مًا"
2,260,"إدغام النون الساكنة والتنوين - بغنة","","ً م"
2,260,"المد العارض للسكون","","حَكِيمٌ"
2,260,"مد العوض","","يًا"
2,263,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,263,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,263,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,263,"المد العارض للسكون","","حَلِيمٌ"
2,264,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,264,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,264,"مد العوض","","دًا"
2,265,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,265,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,265,"إقلاب النون الساكنة والتنوين","","ٍ ب"
2,266,"إخفاء النون الساكنة والتنوين","","ٌ ض"
2,266,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,266,"إخفاء النون الساكنة والتنوين","","ٌ ف"
2,266,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,268,"إدغام النون الساكنة والتنوين - بغنة","","ً م"
2,268,"المد العارض للسكون","","عَلِيمٌ"
2,268,"مد العوض","","لًا"
2,269,"مد العوض","","رًا"
2,271,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,271,"المد العارض للسكون","","خَبِيرٌ"
2,273,"مد العوض","","فًا"
2,274,"إخفاء النون الساكنة والتنوين","","ً ف"
2,275,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,280,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
2,282,"إخفاء النون الساكنة والتنوين","","ً ت"
2,282,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,282,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
2,282,"المد العارض للسكون","","شَهِيدٌ ۚ"
2,282,"المد العارض للسكون","","عَلِيمٌ"
2,282,"مد العوض","","ًٔا"
2,283,"إخفاء النون الساكنة والتنوين","","ٌ ق"
2,283,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
2,283,"المد العارض للسكون","","عَلِيمٌ"
3,4,"إخفاء النون الساكنة والتنوين","","ٌ ش"
3,4,"إخفاء النون الساكنة والتنوين","","ٌ ذ"
3,4,"المد العارض للسكون","","شَدِيدٌ ۗ"
3,5,"إخفاء النون الساكنة والتنوين","","ٌ ف"
3,7,"إخفاء النون الساكنة والتنوين","","ٌ ف"
3,7,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,7,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,10,"مد العوض","","ًٔا"
3,13,"إخفاء النون الساكنة والتنوين","","ٌ ف"
3,13,"إخفاء النون الساكنة والتنوين","","ٌ ت"
3,13,"إدغام النون الساكنة والتنوين - بدون غنة","","ً ل"
3,13,"إدغام النون الساكنة والتنوين - بغنة","","ٌ ي"
3,15,"إخفاء النون الساكنة والتنوين","","ٌ ت"
3,15,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,15,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,15,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
3,23,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,26,"المد العارض للسكون","","قَدِيرٌ"
3,29,"المد العارض للسكون","","قَدِيرٌ"
3,30,"مد العوض","","دًا"
3,31,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ر"
3,31,"المد العارض للسكون","","رَّحِيمٌ"
3,37,"مد العوض","","قًا"
3,38,"إخفاء النون الساكنة والتنوين","","ً ط"
3,39,"إدغام النون الساكنة والتنوين - بغنة","","ٌ ي"
3,40,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
3,41,"مد العوض","","زًا"
3,47,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
3,49,"إدغام النون الساكنة والتنوين - بدون غنة","","ً ل"
3,51,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,51,"المد العارض للسكون","","مُّسْتَقِيمٌ"
3,64,"إقلاب النون الساكنة والتنوين","","ٍ ب"
3,66,"إخفاء النون الساكنة والتنوين","","ٌ ف"
3,69,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,72,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,73,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,73,"المد العارض للسكون","","عَلِيمٌ"
3,75,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
3,75,"مد العوض","","مًا"
3,77,"المد العارض للسكون","","أَلِيمٌ"
3,81,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
3,81,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,86,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
3,89,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ر"
3,91,"إخفاء النون الساكنة والتنوين","","ٌ ف"
3,91,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
3,92,"المد العارض للسكون","","عَلِيمٌ"
3,97,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,97,"مد العوض","","نًا"
3,97,"مد العوض","","لًا"
3,103,"إخفاء النون الساكنة والتنوين","","ً ف"
3,104,"إدغام النون الساكنة والتنوين - بغنة","","ٌ ي"
3,105,"المد العارض للسكون","","عَظِيمٌ"
3,106,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
3,106,"المد العارض للسكون","","وُجُوهٌ ۚ"
3,113,"إخفاء النون الساكنة والتنوين","","ٌ ق"
3,113,"إدغام النون الساكنة والتنوين - بغنة","","ٌ ي"
3,116,"مد العوض","","ًٔا"
3,118,"إدغام النون الساكنة والتنوين - بغنة","","ً م"
3,120,"إخفاء النون الساكنة والتنوين","","ٌ ت"
3,120,"إدغام النون الساكنة والتنوين - بغنة","","ٌ ي"
3,120,"المد العارض للسكون","","مُحِيطٌ"
3,129,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ر"
3,129,"المد العارض للسكون","","رَّحِيمٌ"
3,136,"إخفاء النون الساكنة والتنوين","","ٌ ت"
3,136,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,137,"إخفاء النون الساكنة والتنوين","","ٌ ف"
3,138,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
3,138,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
3,140,"إخفاء النون الساكنة والتنوين","","ٌ ف"
3,140,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,144,"إخفاء النون الساكنة والتنوين","","ٌ ق"
3,144,"مد العوض","","ًٔا"
3,145,"مد العوض","","لًا"
3,146,"إخفاء النون الساكنة والتنوين","","ٌ ف"
3,151,"مد العوض","","نًا"
3,154,"إخفاء النون الساكنة والتنوين","","ٌ ق"
3,154,"إدغام النون الساكنة والتنوين - بغنة","","ً ن"
3,154,"إدغام النون الساكنة والتنوين - بغنة","","ً م"
3,154,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,155,"المد العارض للسكون","","حَلِيمٌ"
3,156,"إخفاء النون الساكنة والتنوين","","ً ف"
3,156,"المد العارض للسكون","","بَصِيرٌ"
3,157,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,157,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,165,"إخفاء النون الساكنة والتنوين","","ٌ ق"
3,165,"المد العارض للسكون","","قَدِيرٌ"
3,174,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
3,176,"مد العوض","","ًٔا"
3,177,"المد العارض للسكون","","أَلِيمٌ"
3,178,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
3,178,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,178,"المد العارض للسكون","","مُّهِينٌ"
3,178,"مد العوض","","مًا"
3,179,"المد العارض للسكون","","عَظِيمٌ"
3,180,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
3,180,"المد العارض للسكون","","خَبِيرٌ"
3,181,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
3,183,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,184,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
3,186,"مد العوض","","رًا"
3,187,"مد العوض","","لًا"
3,188,"المد العارض للسكون","","أَلِيمٌ"
3,197,"إخفاء النون الساكنة والتنوين","","ٌ ق"
3,197,"إخفاء النون الساكنة والتنوين","","ٌ ث"
3,198,"إخفاء النون الساكنة والتنوين","","ٌ ت"
3,198,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
4,1,"مد العوض","","بًا"
4,2,"مد العوض","","رًا"
4,4,"مد العوض","","ًٔا"
4,5,"مد العوض","","فًا"
4,6,"مد العوض","","بًا"
4,7,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,7,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,7,"مد العوض","","ضًا"
4,8,"مد العوض","","فًا"
4,9,"إخفاء النون الساكنة والتنوين","","ً ض"
4,10,"مد العوض","","رًا"
4,10,"مد العوض","","رًا"
4,11,"إخفاء النون الساكنة والتنوين","","ً ف"
4,11,"إخفاء النون الساكنة والتنوين","","ً ف"
4,11,"إخفاء النون الساكنة والتنوين","","ٌ ف"
4,11,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
4,11,"إدغام النون الساكنة والتنوين - بغنة","","ً م"
4,11,"مد العوض","","عًا"
4,11,"مد العوض","","مًا"
4,12,"إخفاء النون الساكنة والتنوين","","ٌ ف"
4,12,"إخفاء النون الساكنة والتنوين","","ٌ ف"
4,12,"إخفاء النون الساكنة والتنوين","","ٌ ف"
4,12,"إدغام النون الساكنة والتنوين - بغنة","","ٌ ي"
4,12,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
4,12,"إدغام النون الساكنة والتنوين - بغنة","","ً م"
4,12,"المد العارض للسكون","","حَلِيمٌ"
4,14,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,14,"المد العارض للسكون","","مُّهِينٌ"
4,15,"إدغام النون الساكنة والتنوين - بغنة","","ً م"
4,15,"مد العوض","","لًا"
4,17,"مد العوض","","مًا"
4,18,"مد العوض","","مًا"
4,19,"مد العوض","","هًا"
4,19,"مد العوض","","رًا"
4,20,"مد العوض","","نًا"
4,21,"مد العوض","","ظًا"
4,22,"إدغام النون الساكنة والتنوين - بغنة","","ً و"
4,23,"مد العوض","","مًا"
4,24,"مد العوض","","مًا"
4,25,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
4,25,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ر"
4,25,"المد العارض للسكون","","رَّحِيمٌ"
4,26,"المد العارض للسكون","","حَكِيمٌ"
4,27,"مد العوض","","مًا"
4,28,"مد العوض","","فًا"
4,29,"مد العوض","","مًا"
4,30,"مد العوض","","رًا"
4,31,"مد العوض","","مًا"
4,32,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,32,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,32,"مد العوض","","مًا"
4,34,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
4,34,"مد العوض","","رًا"
4,35,"مد العوض","","رًا"
4,36,"مد العوض","","ًٔا"
4,37,"مد العوض","","نًا"
4,38,"مد العوض","","نًا"
4,40,"إدغام النون الساكنة والتنوين - بغنة","","ً ي"
4,40,"مد العوض","","مًا"
4,41,"إقلاب النون الساكنة والتنوين","","ٍ ب"
4,41,"مد العوض","","دًا"
4,42,"مد العوض","","ثًا"
4,43,"إخفاء النون الساكنة والتنوين","","ً ف"
4,43,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,45,"مد العوض","","رًا"
4,46,"مد العوض","","لًا"
4,53,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,54,"مد العوض","","مًا"
4,56,"مد العوض","","مًا"
4,57,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,57,"مد العوض","","دًا"
4,58,"مد العوض","","رًا"
4,59,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
4,60,"مد العوض","","دًا"
4,61,"مد العوض","","دًا"
4,63,"مد العوض","","غًا"
4,64,"مد العوض","","مًا"
4,65,"مد العوض","","مًا"
4,66,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,66,"مد العوض","","تًا"
4,67,"مد العوض","","مًا"
4,68,"مد العوض","","مًا"
4,69,"مد العوض","","قًا"
4,70,"مد العوض","","مًا"
4,71,"مد العوض","","عًا"
4,72,"إخفاء النون الساكنة والتنوين","","ٌ ق"
4,72,"مد العوض","","دًا"
4,73,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,73,"إدغام النون الساكنة والتنوين - بغنة","","ٌ ي"
4,73,"مد العوض","","مًا"
4,74,"مد العوض","","مًا"
4,77,"إدغام النون الساكنة والتنوين - بدون غنة","","ٌ ل"
4,77,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,77,"إدغام النون الساكنة والتنوين - بغنة","","ٌ و"
4,78,"إدغام النون الساكنة والتنوين - بغنة","","ٌ ي"
4,78,"إدغام النون الساكنة والتنوين - بغنة","","ٌ ي"
4,78,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,78,"مد العوض","","ثًا"
4,79,"مد العوض","","لًا"
4,79,"مد العوض","","دًا"
4,80,"مد العوض","","ظًا"
4,81,"إخفاء النون الساكنة والتنوين","","ٌ ف"
4,81,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,82,"مد العوض","","رًا"
4,83,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,83,"مد العوض","","لًا"
4,84,"مد العوض","","لًا"
4,85,"إخفاء النون الساكنة والتنوين","","ً س"
4,85,"إدغام النون الساكنة والتنوين - بغنة","","ً ي"
4,85,"إدغام النون الساكنة والتنوين - بغنة","","ً ي"
4,85,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,85,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,85,"مد العوض","","تًا"
4,87,"مد العوض","","ثًا"
4,88,"مد العوض","","لًا"
4,90,"إقلاب النون الساكنة والتنوين","","ٍ ب"
4,90,"مد العوض","","لًا"
4,91,"مد العوض","","نًا"
4,92,"إخفاء النون الساكنة والتنوين","","ٌ ف"
4,92,"إخفاء النون الساكنة والتنوين","","ٌ ف"
4,92,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,92,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,92,"إدغام النون الساكنة والتنوين - بغنة","","ً م"
4,92,"إقلاب النون الساكنة والتنوين","","ٍ ب"
4,92,"مد العوض","","ًٔا"
4,92,"مد العوض","","مًا"
4,93,"مد العوض","","مًا"
4,94,"مد العوض","","رًا"
4,95,"مد العوض","","مًا"
4,96,"إدغام النون الساكنة والتنوين - بغنة","","ً و"
4,97,"إخفاء النون الساكنة والتنوين","","ً ف"
4,98,"إدغام النون الساكنة والتنوين - بغنة","","ً و"
4,98,"مد العوض","","لًا"
4,99,"مد العوض","","رًا"
4,100,"مد العوض","","مًا"
4,101,"مد العوض","","نًا"
4,102,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,102,"إدغام النون الساكنة والتنوين - بغنة","","ً و"
4,102,"مد العوض","","نًا"
4,103,"مد العوض","","تًا"
4,105,"مد العوض","","مًا"
4,106,"مد العوض","","مًا"
4,107,"مد العوض","","مًا"
4,109,"مد العوض","","لًا"
4,110,"مد العوض","","مًا"
4,111,"مد العوض","","مًا"
4,112,"مد العوض","","نًا"
4,113,"إدغام النون الساكنة والتنوين - بغنة","","ٌ م"
4,113,"مد العوض","","مًا"
4,114,"إقلاب النون الساكنة والتنوين","","ٍ ب"
4,114,"مد العوض","","مًا"
4,117,"مد العوض","","دًا"
4,118,"مد العوض","","ضًا"
